"venue","row_count","min_year","max_year","flag_reason"
"Social Science & Medicine","2294","2011","2026","off_domain_venue_name:medicine"
"Population Medicine","2109","2019","2026","off_domain_venue_name:medicine"
"New England Journal of Medicine","1856","1990","2025","off_domain_venue_name:medicine"
"Clinical Child Psychology and Psychiatry","1254","2006","2026","off_domain_venue_name:medicine"
"Journal of the American Chemical Society","581","1990","2025","off_domain_venue_name:physical_science"
"Journal of Clinical Oncology","489","1990","2026","off_domain_venue_name:medicine"
"Physical Review Letters","358","1990","2025","off_domain_venue_name:physical_science"
"npj Digital Medicine","292","2018","2025","off_domain_venue_name:medicine"
"Nature Medicine","285","1996","2025","off_domain_venue_name:medicine"
"Journal of Materials Chemistry A","227","2015","2025","off_domain_venue_name:physical_science"
"International Journal of Molecular Sciences","206","2018","2025","off_domain_venue_name:life_science"
"Journal of Medical Internet Research","184","2005","2025","off_domain_venue_name:medicine"
"Chemical Science","167","2017","2025","off_domain_venue_name:physical_science"
"Science Translational Medicine","158","2009","2025","off_domain_venue_name:medicine"
"Annals of Internal Medicine","151","1990","2025","off_domain_venue_name:medicine"
"Green Chemistry","150","2016","2025","off_domain_venue_name:physical_science"
"International Journal of Epidemiology","149","1992","2024","off_domain_venue_name:medicine"
"Journal of the American Medical Informatics Association","147","2016","2025","off_domain_venue_name:medicine"
"Journal of Chemical Theory and Computation","137","2006","2025","off_domain_venue_name:physical_science"
"Analytical Chemistry","131","1990","2025","off_domain_venue_name:physical_science"
"World Psychiatry","121","2005","2025","off_domain_venue_name:medicine"
"Journal of High Energy Physics","113","2010","2025","off_domain_venue_name:physical_science"
"Journal of Chemical Information and Modeling","110","2004","2025","off_domain_venue_name:physical_science"
"Reviews of Modern Physics","104","1992","2024","off_domain_venue_name:physical_science"
"International Journal of Surgery","102","2010","2025","off_domain_venue_name:medicine"
"Social Science & Medicine (1967)","101","1992","2025","off_domain_venue_name:medicine"
"IEEE Journal of Biomedical and Health Informatics","100","2017","2025","off_domain_venue_name:medicine"
"Neurology","99","1991","2025","off_domain_venue_name:medicine"
"BMC Medicine","96","2012","2025","off_domain_venue_name:medicine"
"Molecular Biology and Evolution","92","1992","2025","off_domain_venue_name:life_science"
"Nature Genetics","90","2016","2025","off_domain_venue_name:life_science"
"JAMA Neurology","89","2016","2025","off_domain_venue_name:medicine"
"TrAC Trends in Analytical Chemistry","89","2021","2025","off_domain_venue_name:physical_science"
"BMC Medical Education","87","2015","2025","off_domain_venue_name:medicine"
"Astronomy and Astrophysics","86","2001","2025","off_domain_venue_name:physical_science"
"Biomedicine & Pharmacotherapy","86","2022","2024","off_domain_venue_name:medicine"
"Radiology","86","1996","2025","off_domain_venue_name:medicine"
"Journal of Clinical Medicine","85","2018","2025","off_domain_venue_name:medicine"
"Physical review. D/Physical review. D.","85","2016","2025","off_domain_venue_name:physical_science"
"Global Change Biology","83","2003","2025","off_domain_venue_name:life_science"
"PLoS Medicine","80","2004","2025","off_domain_venue_name:medicine"
"IEEE Transactions on Medical Imaging","78","1994","2025","off_domain_venue_name:medicine"
"Redox Biology","74","2016","2024","off_domain_venue_name:life_science"
"Journal of Clinical Investigation","72","1990","2025","off_domain_venue_name:medicine"
"Journal of Medicinal Chemistry","72","1996","2025","off_domain_venue_name:physical_science"
"ACS Sustainable Chemistry & Engineering","67","2017","2025","off_domain_venue_name:physical_science"
"PRX Quantum","67","2021","2025","off_domain_venue_name:physical_science"
"The Journal of Physical Chemistry Letters","67","2010","2025","off_domain_venue_name:physical_science"
"Genome biology","66","2003","2025","off_domain_venue_name:life_science"
"JAMA Psychiatry","66","2016","2025","off_domain_venue_name:medicine"
"Journal of Computational Chemistry","65","1990","2024","off_domain_venue_name:physical_science"
"Chemical Communications","64","2018","2024","off_domain_venue_name:physical_science"
"PEDIATRICS","64","1998","2024","off_domain_venue_name:medicine"
"Systematic Biology","59","1995","2025","off_domain_venue_name:life_science"
"BMC Psychiatry","58","2010","2025","off_domain_venue_name:medicine"
"Frontiers in Psychiatry","58","2018","2026","off_domain_venue_name:medicine"
"BMC Nursing","57","2021","2025","off_domain_venue_name:medicine"
"Chemical Engineering Journal","56","2021","2025","off_domain_venue_name:physical_science"
"Journal of Cosmology and Astroparticle Physics","56","2011","2025","off_domain_venue_name:physical_science"
"BMC Medical Informatics and Decision Making","54","2007","2025","off_domain_venue_name:medicine"
"Chemistry of Materials","54","2010","2025","off_domain_venue_name:physical_science"
"Nature Neuroscience","54","2020","2025","off_domain_venue_name:life_science"
"Zenodo (CERN European Organization for Nuclear Research)","54","2005","2026","off_domain_venue_name:physical_science"
"American Journal of Respiratory and Critical Care Medicine","53","1998","2024","off_domain_venue_name:medicine"
"Frontiers in Medicine","53","2018","2025","off_domain_venue_name:medicine"
"Frontiers in Pharmacology","53","2018","2025","off_domain_venue_name:medicine"
"The Lancet Oncology","53","2013","2025","off_domain_venue_name:medicine"
"Journal of Materials Chemistry C","52","2016","2025","off_domain_venue_name:physical_science"
"Journal of the American College of Cardiology","50","2013","2024","off_domain_venue_name:medicine"
"Medical Care","50","1992","2021","off_domain_venue_name:medicine"
"Physical Review X","49","2016","2025","off_domain_venue_name:physical_science"
"Biomedical Signal Processing and Control","47","2021","2024","off_domain_venue_name:medicine"
"Critical Care Medicine","47","1992","2025","off_domain_venue_name:medicine"
"Annals of Surgery","46","1994","2024","off_domain_venue_name:medicine"
"JAMA Oncology","46","2015","2025","off_domain_venue_name:medicine"
"Acta Crystallographica Section D Biological Crystallography","45","1994","2013","off_domain_venue_name:life_science"
"The Journal of Chemical Physics","45","1992","2025","off_domain_venue_name:physical_science"
"The Journal of Clinical Endocrinology & Metabolism","45","1999","2025","off_domain_venue_name:medicine"
"Medicine","44","2015","2025","off_domain_venue_name:medicine"
"PLoS Biology","44","2006","2025","off_domain_venue_name:life_science"
"PLoS Computational Biology","44","2007","2024","off_domain_venue_name:life_science"
"Accounts of Chemical Research","43","1990","2025","off_domain_venue_name:physical_science"
"Biological Conservation","43","2015","2024","off_domain_venue_name:life_science"
"British Journal of Pharmacology","43","2010","2024","off_domain_venue_name:medicine"
"Clinical Infectious Diseases","43","1993","2023","off_domain_venue_name:medicine"
"The Journal of Physical Chemistry B","43","2020","2024","off_domain_venue_name:physical_science"
"British medical journal","42","1999","2023","off_domain_venue_name:medicine"
"JAMA Surgery","42","2016","2025","off_domain_venue_name:medicine"
"JAMA Pediatrics","41","2016","2024","off_domain_venue_name:medicine"
"Journal of Personalized Medicine","40","2017","2025","off_domain_venue_name:medicine"
"Neuro-Oncology","40","2013","2024","off_domain_venue_name:medicine"
"Pediatrics","40","2003","2025","off_domain_venue_name:medicine"
"Informatics in Medicine Unlocked","39","2019","2024","off_domain_venue_name:medicine"
"Psychological Medicine","39","1996","2024","off_domain_venue_name:medicine"
"The Journal of Experimental Medicine","38","1993","2024","off_domain_venue_name:medicine"
"BMC Medical Research Methodology","37","2001","2025","off_domain_venue_name:medicine"
"Frontiers in Neuroscience","37","2013","2025","off_domain_venue_name:life_science"
"The Journal of Physical Chemistry C","37","2007","2025","off_domain_venue_name:physical_science"
"Journal of Hematology & Oncology","36","2017","2025","off_domain_venue_name:medicine"
"Journal of Medicine Surgery and Public Health","36","2023","2025","off_domain_venue_name:medicine"
"Communications Biology","35","2019","2025","off_domain_venue_name:life_science"
"Frontiers in Neurology","35","2016","2025","off_domain_venue_name:medicine"
"Physics of Fluids","35","2021","2025","off_domain_venue_name:physical_science"
"American Journal of Epidemiology","33","1990","2024","off_domain_venue_name:medicine"
"Applied Physics Reviews","32","2016","2025","off_domain_venue_name:physical_science"
"Communications Medicine","32","2021","2025","off_domain_venue_name:medicine"
"Anesthesiology","31","2005","2024","off_domain_venue_name:medicine"
"Journal of Physics D Applied Physics","31","1999","2024","off_domain_venue_name:physical_science"
