rank,journal_name,publisher,score,items_listed,percentile,simple_if_rank,recursive_if_rank,h_index_rank
1,"Econometrica","Econometric Society",1.36,4210,100,2,1,4
2,"American Economic Review","American Economic Association",2.95,10595,100,7,2,1
3,"The Quarterly Journal of Economics","President and Fellows of Harvard College",3.52,2698,99.9,1,10,2
4,"Journal of Economic Literature","American Economic Association",4.58,1234,99.9,3,3,14
5,"Journal of Financial Economics","Elsevier",5.7,3861,99.9,5,22,6
6,"American Economic Journal: Macroeconomics","American Economic Association",7.12,661,99.9,16,4,60
7,"Journal of Political Economy","University of Chicago Press",7.19,3664,99.8,10,9,5
8,"Journal of Finance","American Finance Association",7.51,4875,99.8,9,8,3
9,"Journal of Economic Perspectives","American Economic Association",7.91,2050,99.8,6,6,9
10,"The Review of Financial Studies","Society for Financial Studies",8.13,2680,99.7,8,17,7
11,"Journal of Economic Growth","Springer",9.49,410,99.7,4,13,72
12,"American Economic Journal: Applied Economics","American Economic Association",9.5,759,99.7,15,11,54
13,"The Review of Economic Studies","Review of Economic Studies Ltd",10.17,3035,99.6,12,15,8
14,"Annual Review of Economics","Annual Reviews",11.76,443,99.6,23,7,96
15,"Journal of Monetary Economics","Elsevier",12.84,4119,99.6,14,12,10
16,"Journal of Labor Economics","University of Chicago Press",14.13,1433,99.6,19,5,31
17,"Journal of Econometrics","Elsevier",14.62,5581,99.5,20,50,12
18,"The Review of Economics and Statistics","MIT Press",16.67,4706,99.5,21,21,11
19,"Brookings Papers on Economic Activity, Economic Studies Program","The Brookings Institution",18.72,975,99.5,11,16,34
20,"Journal of the European Economic Association","European Economic Association",19.18,1984,99.4,17,20,41
21,"The Economic Journal","Royal Economic Society",20.29,4766,99.4,25,31,13
22,"RAND Journal of Economics","RAND Corporation",21.13,2312,99.4,18,18,23
23,"Journal of International Economics","Elsevier",23.2,3792,99.4,29,28,15
24,"Journal of Accounting and Economics","Elsevier",23.44,1425,99.3,13,46,28
25,"American Economic Journal: Economic Policy","American Economic Association",23.47,817,99.3,34,25,74
26,"Journal of Public Economics","Elsevier",25.53,4916,99.3,32,30,16
27,"Journal of Business & Economic Statistics","Taylor & Francis Journals",27.23,2571,99.2,31,34,29
28,"Journal of Applied Econometrics, John Wiley & Sons","Ltd.",28.3,2128,99.2,26,32,35
29,"Economic Policy, CEPR, CESifo","Sciences Po;CES;MSH",28.5,508,99.2,22,19,78
30,"Strategic Management Journal","Wiley Blackwell",30.72,2951,99.1,24,149,19
31,"Journal of Development Economics","Elsevier",32.54,4307,99.1,38,53,17
32,"Proceedings","Federal Reserve Bank of Cleveland",36.78,198,99.1,28,14,302
33,"Journal of Money, Credit and Banking","Blackwell Publishing",36.86,4204,99.1,45,39,24
34,"Journal of Human Resources","University of Wisconsin Press",37.12,2136,99,40,26,45
35,"Journal of Financial Intermediation","Elsevier",38.45,815,99,30,37,76
36,"Journal of Economic Theory","Elsevier",38.55,5279,99,56,49,27
37,"Review of Economic Dynamics","Elsevier for the Society for Economic Dynamics",38.59,1258,98.9,50,24,85
